"COUNTY","SHORTPOSTCODE","TOWN","DISTRICT","YEAR","AVGPRICE"
"NORTH YORKSHIRE","YO62","YORK","NORTH YORKSHIRE",2022,461071.428571429
"NORTH YORKSHIRE","YO62","YORK","RYEDALE",2019,328438.555555556
"NORTH YORKSHIRE","YO62","YORK","RYEDALE",2020,437625.575342466
"NORTH YORKSHIRE","YO62","YORK","RYEDALE",2021,351955.903225806
"NORTH YORKSHIRE","YO62","YORK","RYEDALE",2022,397078.875598086
"NORTH YORKSHIRE","YO7","THIRSK","HAMBLETON",2019,289954.331753555
"NORTH YORKSHIRE","YO7","THIRSK","HAMBLETON",2020,280188.850356295
"NORTH YORKSHIRE","YO7","THIRSK","HAMBLETON",2021,322499.439672802
"NORTH YORKSHIRE","YO7","THIRSK","HAMBLETON",2022,312364.189964158
"NORTH YORKSHIRE","YO7","THIRSK","HARROGATE",2019,336555.542857143
"NORTH YORKSHIRE","YO7","THIRSK","HARROGATE",2020,363718.962962963
"NORTH YORKSHIRE","YO7","THIRSK","HARROGATE",2021,388287.24137931
"NORTH YORKSHIRE","YO7","THIRSK","HARROGATE",2022,458119.428571429
"NORTH YORKSHIRE","YO7","THIRSK","NORTH YORKSHIRE",2019,4553000
"NORTH YORKSHIRE","YO7","THIRSK","NORTH YORKSHIRE",2020,156979
"NORTH YORKSHIRE","YO7","THIRSK","NORTH YORKSHIRE",2021,291951.766666667
"NORTH YORKSHIRE","YO7","THIRSK","NORTH YORKSHIRE",2022,382926.545454545
"NORTH YORKSHIRE","YO7","THIRSK","RYEDALE",2019,529000.666666667
"NORTH YORKSHIRE","YO7","THIRSK","RYEDALE",2020,1015000
"NORTH YORKSHIRE","YO7","THIRSK","RYEDALE",2021,532500
"NORTH YORKSHIRE","YO7","THIRSK","RYEDALE",2022,640500
"NORTH YORKSHIRE","YO8","SELBY","HARROGATE",2020,244150
"NORTH YORKSHIRE","YO8","SELBY","HARROGATE",2021,237995
"NORTH YORKSHIRE","YO8","SELBY","NORTH YORKSHIRE",2019,258000
"NORTH YORKSHIRE","YO8","SELBY","NORTH YORKSHIRE",2020,3e+05
"NORTH YORKSHIRE","YO8","SELBY","NORTH YORKSHIRE",2021,205274.375
"NORTH YORKSHIRE","YO8","SELBY","NORTH YORKSHIRE",2022,297356.836734694
"NORTH YORKSHIRE","YO8","SELBY","SELBY",2019,208421.555364807
"NORTH YORKSHIRE","YO8","SELBY","SELBY",2020,216530.482200647
"NORTH YORKSHIRE","YO8","SELBY","SELBY",2021,240156.420240137
"NORTH YORKSHIRE","YO8","SELBY","SELBY",2022,247071.755614267
"OXFORDSHIRE","","ABINGDON","SOUTH OXFORDSHIRE",2021,721108
"OXFORDSHIRE","","ABINGDON","VALE OF WHITE HORSE",2019,468900
"OXFORDSHIRE","","ABINGDON","VALE OF WHITE HORSE",2020,981166.666666667
"OXFORDSHIRE","","ABINGDON","VALE OF WHITE HORSE",2022,222700
"OXFORDSHIRE","","BAMPTON","WEST OXFORDSHIRE",2019,130000
"OXFORDSHIRE","","BAMPTON","WEST OXFORDSHIRE",2020,691270.5
"OXFORDSHIRE","","BANBURY","CHERWELL",2019,1237148.27272727
"OXFORDSHIRE","","BANBURY","CHERWELL",2020,2036015
"OXFORDSHIRE","","BANBURY","CHERWELL",2021,329105.666666667
"OXFORDSHIRE","","BANBURY","CHERWELL",2022,1812666.66666667
"OXFORDSHIRE","","BICESTER","CHERWELL",2019,1833000
"OXFORDSHIRE","","BICESTER","CHERWELL",2020,621637
"OXFORDSHIRE","","BICESTER","CHERWELL",2021,21278202.5
"OXFORDSHIRE","","BICESTER","CHERWELL",2022,33000
"OXFORDSHIRE","","BRACKLEY","CHERWELL",2019,43800
"OXFORDSHIRE","","CARTERTON","WEST OXFORDSHIRE",2019,250000
"OXFORDSHIRE","","CARTERTON","WEST OXFORDSHIRE",2020,260000
"OXFORDSHIRE","","CARTERTON","WEST OXFORDSHIRE",2021,290000
"OXFORDSHIRE","","CARTERTON","WEST OXFORDSHIRE",2022,11690405
"OXFORDSHIRE","","CHINNOR","SOUTH OXFORDSHIRE",2019,1200000
"OXFORDSHIRE","","CHINNOR","SOUTH OXFORDSHIRE",2022,3500000
"OXFORDSHIRE","","CHIPPING NORTON","OXFORD",2019,95000
"OXFORDSHIRE","","CHIPPING NORTON","WEST OXFORDSHIRE",2019,651855.6
"OXFORDSHIRE","","CHIPPING NORTON","WEST OXFORDSHIRE",2021,4400000
"OXFORDSHIRE","","CHIPPING NORTON","WEST OXFORDSHIRE",2022,77000
"OXFORDSHIRE","","DIDCOT","SOUTH OXFORDSHIRE",2019,273000
"OXFORDSHIRE","","DIDCOT","VALE OF WHITE HORSE",2019,335319
"OXFORDSHIRE","","DIDCOT","VALE OF WHITE HORSE",2020,5825
"OXFORDSHIRE","","DIDCOT","VALE OF WHITE HORSE",2022,6633.33333333333
"OXFORDSHIRE","","FARINGDON","VALE OF WHITE HORSE",2019,350000
"OXFORDSHIRE","","FARINGDON","VALE OF WHITE HORSE",2021,522000
"OXFORDSHIRE","","FARINGDON","VALE OF WHITE HORSE",2022,1e+06
"OXFORDSHIRE","","HENLEY-ON-THAMES","SOUTH OXFORDSHIRE",2020,576000
"OXFORDSHIRE","","HENLEY-ON-THAMES","SOUTH OXFORDSHIRE",2021,1389000
"OXFORDSHIRE","","HENLEY-ON-THAMES","SOUTH OXFORDSHIRE",2022,134000
"OXFORDSHIRE","","KIDLINGTON","CHERWELL",2019,708000
"OXFORDSHIRE","","KIDLINGTON","CHERWELL",2020,1300000
"OXFORDSHIRE","","KIDLINGTON","CHERWELL",2021,251500
"OXFORDSHIRE","","KIDLINGTON","CHERWELL",2022,425000
"OXFORDSHIRE","","OXFORD","OXFORD",2019,9101665.6
"OXFORDSHIRE","","OXFORD","OXFORD",2020,975833.333333333
"OXFORDSHIRE","","OXFORD","OXFORD",2021,14780875
"OXFORDSHIRE","","OXFORD","OXFORD",2022,15550125
"OXFORDSHIRE","","OXFORD","SOUTH OXFORDSHIRE",2019,439741.666666667
"OXFORDSHIRE","","OXFORD","SOUTH OXFORDSHIRE",2022,17900
"OXFORDSHIRE","","OXFORD","VALE OF WHITE HORSE",2021,6e+05
"OXFORDSHIRE","","READING","SOUTH OXFORDSHIRE",2020,5000
"OXFORDSHIRE","","READING","SOUTH OXFORDSHIRE",2022,532000
"OXFORDSHIRE","","THAME","SOUTH OXFORDSHIRE",2019,951068
"OXFORDSHIRE","","WALLINGFORD","SOUTH OXFORDSHIRE",2019,406403.666666667
"OXFORDSHIRE","","WALLINGFORD","SOUTH OXFORDSHIRE",2020,3484333.33333333
"OXFORDSHIRE","","WALLINGFORD","SOUTH OXFORDSHIRE",2021,154600
"OXFORDSHIRE","","WANTAGE","VALE OF WHITE HORSE",2019,371875
"OXFORDSHIRE","","WANTAGE","VALE OF WHITE HORSE",2020,1700000
"OXFORDSHIRE","","WANTAGE","VALE OF WHITE HORSE",2021,694084.888888889
"OXFORDSHIRE","","WANTAGE","VALE OF WHITE HORSE",2022,1100000
"OXFORDSHIRE","","WATLINGTON","SOUTH OXFORDSHIRE",2020,4e+05
"OXFORDSHIRE","","WATLINGTON","SOUTH OXFORDSHIRE",2021,910474
"OXFORDSHIRE","","WITNEY","WEST OXFORDSHIRE",2019,912317.25
"OXFORDSHIRE","","WITNEY","WEST OXFORDSHIRE",2020,229563.333333333
"OXFORDSHIRE","","WITNEY","WEST OXFORDSHIRE",2021,767088.5
"OXFORDSHIRE","","WITNEY","WEST OXFORDSHIRE",2022,13500
"OXFORDSHIRE","","WOODSTOCK","WEST OXFORDSHIRE",2019,18000
"OXFORDSHIRE","GL56","MORETON-IN-MARSH","WEST OXFORDSHIRE",2020,903333.333333333
"OXFORDSHIRE","GL56","MORETON-IN-MARSH","WEST OXFORDSHIRE",2021,2886000
"OXFORDSHIRE","GL56","MORETON-IN-MARSH","WEST OXFORDSHIRE",2022,1106250
"OXFORDSHIRE","GL7","LECHLADE","WEST OXFORDSHIRE",2019,805000
"OXFORDSHIRE","GL7","LECHLADE","WEST OXFORDSHIRE",2020,727800
"OXFORDSHIRE","GL7","LECHLADE","WEST OXFORDSHIRE",2021,663746.285714286
"OXFORDSHIRE","GL7","LECHLADE","WEST OXFORDSHIRE",2022,680946
"OXFORDSHIRE","HP18","AYLESBURY","CHERWELL",2022,740000
"OXFORDSHIRE","HP18","AYLESBURY","SOUTH OXFORDSHIRE",2021,725000
"OXFORDSHIRE","HP18","AYLESBURY","SOUTH OXFORDSHIRE",2022,1225000
"OXFORDSHIRE","MK18","BUCKINGHAM","CHERWELL",2019,401750
"OXFORDSHIRE","MK18","BUCKINGHAM","CHERWELL",2020,387750
"OXFORDSHIRE","MK18","BUCKINGHAM","CHERWELL",2021,505277.777777778
"OXFORDSHIRE","MK18","BUCKINGHAM","CHERWELL",2022,728401.333333333
"OXFORDSHIRE","NN13","BRACKLEY","CHERWELL",2019,395000
"OXFORDSHIRE","NN13","BRACKLEY","CHERWELL",2020,413166.666666667
"OXFORDSHIRE","NN13","BRACKLEY","CHERWELL",2021,407769.230769231
"OXFORDSHIRE","NN13","BRACKLEY","CHERWELL",2022,394000
"OXFORDSHIRE","OX1","OXFORD","OXFORD",2019,833396.895652174
"OXFORDSHIRE","OX1","OXFORD","OXFORD",2020,774310.353982301
"OXFORDSHIRE","OX1","OXFORD","OXFORD",2021,761953.761904762
"OXFORDSHIRE","OX1","OXFORD","OXFORD",2022,1344223.4375
"OXFORDSHIRE","OX1","OXFORD","VALE OF WHITE HORSE",2019,502507.7375
"OXFORDSHIRE","OX1","OXFORD","VALE OF WHITE HORSE",2020,565922.289156627
"OXFORDSHIRE","OX1","OXFORD","VALE OF WHITE HORSE",2021,613567.638655462
"OXFORDSHIRE","OX1","OXFORD","VALE OF WHITE HORSE",2022,748977.692307692
"OXFORDSHIRE","OX10","WALLINGFORD","SOUTH OXFORDSHIRE",2019,448125.593291405
"OXFORDSHIRE","OX10","WALLINGFORD","SOUTH OXFORDSHIRE",2020,528633.663019694
"OXFORDSHIRE","OX10","WALLINGFORD","SOUTH OXFORDSHIRE",2021,550240.040559441
"OXFORDSHIRE","OX10","WALLINGFORD","SOUTH OXFORDSHIRE",2022,552174.340182648
"OXFORDSHIRE","OX11","DIDCOT","SOUTH OXFORDSHIRE",2019,409252.181034483
"OXFORDSHIRE","OX11","DIDCOT","SOUTH OXFORDSHIRE",2020,328871.364888124
"OXFORDSHIRE","OX11","DIDCOT","SOUTH OXFORDSHIRE",2021,371146.653798257
"OXFORDSHIRE","OX11","DIDCOT","SOUTH OXFORDSHIRE",2022,396829.040935673
"OXFORDSHIRE","OX11","DIDCOT","VALE OF WHITE HORSE",2019,406682.75826972
"OXFORDSHIRE","OX11","DIDCOT","VALE OF WHITE HORSE",2020,416977.258302583
"OXFORDSHIRE","OX11","DIDCOT","VALE OF WHITE HORSE",2021,618749.544585987
"OXFORDSHIRE","OX11","DIDCOT","VALE OF WHITE HORSE",2022,616240.407821229
"OXFORDSHIRE","OX11","DIDCOT","WEST OXFORDSHIRE",2019,349995
"OXFORDSHIRE","OX12","WANTAGE","SOUTH OXFORDSHIRE",2020,685000
"OXFORDSHIRE","OX12","WANTAGE","VALE OF WHITE HORSE",2019,371184.270935961
"OXFORDSHIRE","OX12","WANTAGE","VALE OF WHITE HORSE",2020,397747.541229385
"OXFORDSHIRE","OX12","WANTAGE","VALE OF WHITE HORSE",2021,383604.543256997
"OXFORDSHIRE","OX12","WANTAGE","VALE OF WHITE HORSE",2022,458940.058823529
"OXFORDSHIRE","OX13","ABINGDON","VALE OF WHITE HORSE",2019,531860.019607843
"OXFORDSHIRE","OX13","ABINGDON","VALE OF WHITE HORSE",2020,564373.514376997
"OXFORDSHIRE","OX13","ABINGDON","VALE OF WHITE HORSE",2021,601534.010638298
"OXFORDSHIRE","OX13","ABINGDON","VALE OF WHITE HORSE",2022,651222.847926267
"OXFORDSHIRE","OX14","ABINGDON","OXFORD",2021,196000
"OXFORDSHIRE","OX14","ABINGDON","SOUTH OXFORDSHIRE",2019,3530266.06666667
"OXFORDSHIRE","OX14","ABINGDON","SOUTH OXFORDSHIRE",2020,879187.5
"OXFORDSHIRE","OX14","ABINGDON","SOUTH OXFORDSHIRE",2021,674439.545454545
"OXFORDSHIRE","OX14","ABINGDON","SOUTH OXFORDSHIRE",2022,574526.434782609
"OXFORDSHIRE","OX14","ABINGDON","VALE OF WHITE HORSE",2019,457447.793193717
"OXFORDSHIRE","OX14","ABINGDON","VALE OF WHITE HORSE",2020,443139.18125
"OXFORDSHIRE","OX14","ABINGDON","VALE OF WHITE HORSE",2021,641973.505263158
"OXFORDSHIRE","OX14","ABINGDON","VALE OF WHITE HORSE",2022,413236.410714286
"OXFORDSHIRE","OX15","BANBURY","CHERWELL",2019,429036.150510204
"OXFORDSHIRE","OX15","BANBURY","CHERWELL",2020,462100.674486804
"OXFORDSHIRE","OX15","BANBURY","CHERWELL",2021,564912.995824635
"OXFORDSHIRE","OX15","BANBURY","CHERWELL",2022,567276.24437299
"OXFORDSHIRE","OX15","BANBURY","WEST OXFORDSHIRE",2019,3641280
"OXFORDSHIRE","OX16","BANBURY","CHERWELL",2019,288609.298347911
"OXFORDSHIRE","OX16","BANBURY","CHERWELL",2020,323508.774857143
"OXFORDSHIRE","OX16","BANBURY","CHERWELL",2021,294492.718390805
"OXFORDSHIRE","OX16","BANBURY","CHERWELL",2022,288456.271282633
"OXFORDSHIRE","OX16","BANBURY","OXFORD",2019,374000
"OXFORDSHIRE","OX17","BANBURY","CHERWELL",2019,512103.936363636
"OXFORDSHIRE","OX17","BANBURY","CHERWELL",2020,464964.268292683
"OXFORDSHIRE","OX17","BANBURY","CHERWELL",2021,623686.95483871
"OXFORDSHIRE","OX17","BANBURY","CHERWELL",2022,560881.551724138
"OXFORDSHIRE","OX18","BAMPTON","WEST OXFORDSHIRE",2019,565648.247706422
"OXFORDSHIRE","OX18","BAMPTON","WEST OXFORDSHIRE",2020,555309.098039216
"OXFORDSHIRE","OX18","BAMPTON","WEST OXFORDSHIRE",2021,527670.115853659
"OXFORDSHIRE","OX18","BAMPTON","WEST OXFORDSHIRE",2022,594295.97752809
"OXFORDSHIRE","OX18","BURFORD","WEST OXFORDSHIRE",2019,748484.839285714
"OXFORDSHIRE","OX18","BURFORD","WEST OXFORDSHIRE",2020,1018161.8902439
"OXFORDSHIRE","OX18","BURFORD","WEST OXFORDSHIRE",2021,1181283.1980198
"OXFORDSHIRE","OX18","BURFORD","WEST OXFORDSHIRE",2022,1090697.05882353
"OXFORDSHIRE","OX18","CARTERTON","SOUTH OXFORDSHIRE",2021,329950
"OXFORDSHIRE","OX18","CARTERTON","WEST OXFORDSHIRE",2019,294158.018518519
"OXFORDSHIRE","OX18","CARTERTON","WEST OXFORDSHIRE",2020,323826.370242215
"OXFORDSHIRE","OX18","CARTERTON","WEST OXFORDSHIRE",2021,301022.253521127
"OXFORDSHIRE","OX18","CARTERTON","WEST OXFORDSHIRE",2022,359914.279792746
"OXFORDSHIRE","OX2","OXFORD","CHERWELL",2022,350000
"OXFORDSHIRE","OX2","OXFORD","OXFORD",2019,992058.813953488
"OXFORDSHIRE","OX2","OXFORD","OXFORD",2020,982606.911314985
"OXFORDSHIRE","OX2","OXFORD","OXFORD",2021,1062903.58906883
"OXFORDSHIRE","OX2","OXFORD","OXFORD",2022,897116.486956522
"OXFORDSHIRE","OX2","OXFORD","VALE OF WHITE HORSE",2019,501596.48989899
"OXFORDSHIRE","OX2","OXFORD","VALE OF WHITE HORSE",2020,1006933.36723164
"OXFORDSHIRE","OX2","OXFORD","VALE OF WHITE HORSE",2021,542054.475
"OXFORDSHIRE","OX2","OXFORD","VALE OF WHITE HORSE",2022,628140.128205128
"OXFORDSHIRE","OX20","WOODSTOCK","CHERWELL",2021,356750
"OXFORDSHIRE","OX20","WOODSTOCK","CHERWELL",2022,841500
"OXFORDSHIRE","OX20","WOODSTOCK","WEST OXFORDSHIRE",2019,572700
"OXFORDSHIRE","OX20","WOODSTOCK","WEST OXFORDSHIRE",2020,607502.210526316
"OXFORDSHIRE","OX20","WOODSTOCK","WEST OXFORDSHIRE",2021,835768.496453901
"OXFORDSHIRE","OX20","WOODSTOCK","WEST OXFORDSHIRE",2022,572406.818181818
"OXFORDSHIRE","OX25","BICESTER","CHERWELL",2019,479269.70260223
"OXFORDSHIRE","OX25","BICESTER","CHERWELL",2020,452223.894160584
"OXFORDSHIRE","OX25","BICESTER","CHERWELL",2021,426277.576555024
"OXFORDSHIRE","OX25","BICESTER","CHERWELL",2022,499845.2
"OXFORDSHIRE","OX25","BICESTER","OXFORD",2021,352500
"OXFORDSHIRE","OX26","BICESTER","CHERWELL",2019,380151.361035422
"OXFORDSHIRE","OX26","BICESTER","CHERWELL",2020,381129.7299509
"OXFORDSHIRE","OX26","BICESTER","CHERWELL",2021,378019.128301887
"OXFORDSHIRE","OX26","BICESTER","CHERWELL",2022,372316.55730659
"OXFORDSHIRE","OX27","BICESTER","CHERWELL",2019,457784.782608696
"OXFORDSHIRE","OX27","BICESTER","CHERWELL",2020,523084.927835052
"OXFORDSHIRE","OX27","BICESTER","CHERWELL",2021,424763.607594937
"OXFORDSHIRE","OX27","BICESTER","CHERWELL",2022,455378.198113208
"OXFORDSHIRE","OX27","BICESTER","VALE OF WHITE HORSE",2022,35000
"OXFORDSHIRE","OX28","WITNEY","OXFORD",2021,168000
"OXFORDSHIRE","OX28","WITNEY","WEST OXFORDSHIRE",2019,329933.802734375
"OXFORDSHIRE","OX28","WITNEY","WEST OXFORDSHIRE",2020,321788.378238342
"OXFORDSHIRE","OX28","WITNEY","WEST OXFORDSHIRE",2021,340381.638461538
"OXFORDSHIRE","OX28","WITNEY","WEST OXFORDSHIRE",2022,380332.787746171
"OXFORDSHIRE","OX29","WITNEY","OXFORD",2021,415000
"OXFORDSHIRE","OX29","WITNEY","SOUTH OXFORDSHIRE",2021,549000
"OXFORDSHIRE","OX29","WITNEY","VALE OF WHITE HORSE",2020,392500
"OXFORDSHIRE","OX29","WITNEY","WEST OXFORDSHIRE",2019,479018.704174229
"OXFORDSHIRE","OX29","WITNEY","WEST OXFORDSHIRE",2020,440308.585253456
"OXFORDSHIRE","OX29","WITNEY","WEST OXFORDSHIRE",2021,558918.001262626
"OXFORDSHIRE","OX29","WITNEY","WEST OXFORDSHIRE",2022,543545.190721649
"OXFORDSHIRE","OX3","OXFORD","CHERWELL",2019,676250
"OXFORDSHIRE","OX3","OXFORD","CHERWELL",2020,3396666.66666667
"OXFORDSHIRE","OX3","OXFORD","CHERWELL",2021,578333.333333333
"OXFORDSHIRE","OX3","OXFORD","CHERWELL",2022,1349666.66666667
"OXFORDSHIRE","OX3","OXFORD","OXFORD",2019,479305.724604966
"OXFORDSHIRE","OX3","OXFORD","OXFORD",2020,764794.12962963
"OXFORDSHIRE","OX3","OXFORD","OXFORD",2021,477249.315217391
"OXFORDSHIRE","OX3","OXFORD","OXFORD",2022,507186.242280285
"OXFORDSHIRE","OX3","OXFORD","SOUTH OXFORDSHIRE",2019,766666.666666667
"OXFORDSHIRE","OX3","OXFORD","SOUTH OXFORDSHIRE",2020,840500
"OXFORDSHIRE","OX3","OXFORD","SOUTH OXFORDSHIRE",2021,887765.526315789
"OXFORDSHIRE","OX3","OXFORD","SOUTH OXFORDSHIRE",2022,932200
"OXFORDSHIRE","OX33","OXFORD","CHERWELL",2019,405500
"OXFORDSHIRE","OX33","OXFORD","CHERWELL",2020,498750
"OXFORDSHIRE","OX33","OXFORD","CHERWELL",2021,786667.928571429
"OXFORDSHIRE","OX33","OXFORD","CHERWELL",2022,712300
"OXFORDSHIRE","OX33","OXFORD","SOUTH OXFORDSHIRE",2019,463356.858333333
"OXFORDSHIRE","OX33","OXFORD","SOUTH OXFORDSHIRE",2020,509121.234042553
"OXFORDSHIRE","OX33","OXFORD","SOUTH OXFORDSHIRE",2021,522905.434782609
"OXFORDSHIRE","OX33","OXFORD","SOUTH OXFORDSHIRE",2022,559717.204301075
"OXFORDSHIRE","OX39","CHINNOR","SOUTH OXFORDSHIRE",2019,462660.334801762
"OXFORDSHIRE","OX39","CHINNOR","SOUTH OXFORDSHIRE",2020,474338.384180791
"OXFORDSHIRE","OX39","CHINNOR","SOUTH OXFORDSHIRE",2021,503277.150537634
"OXFORDSHIRE","OX39","CHINNOR","SOUTH OXFORDSHIRE",2022,588981.967213115
"OXFORDSHIRE","OX4","OXFORD","OXFORD",2019,523062.768946396
"OXFORDSHIRE","OX4","OXFORD","OXFORD",2020,589396.684901532
"OXFORDSHIRE","OX4","OXFORD","OXFORD",2021,543013.229447853
"OXFORDSHIRE","OX4","OXFORD","OXFORD",2022,617272.896081772
"OXFORDSHIRE","OX4","OXFORD","SOUTH OXFORDSHIRE",2019,3986718.75
"OXFORDSHIRE","OX4","OXFORD","SOUTH OXFORDSHIRE",2020,511412.55
"OXFORDSHIRE","OX4","OXFORD","SOUTH OXFORDSHIRE",2021,409595.238095238
"OXFORDSHIRE","OX4","OXFORD","SOUTH OXFORDSHIRE",2022,408173.076923077
"OXFORDSHIRE","OX44","OXFORD","OXFORD",2020,314995
"OXFORDSHIRE","OX44","OXFORD","OXFORD",2021,430000
"OXFORDSHIRE","OX44","OXFORD","SOUTH OXFORDSHIRE",2019,452521.45
"OXFORDSHIRE","OX44","OXFORD","SOUTH OXFORDSHIRE",2020,2349977.25203252
"OXFORDSHIRE","OX44","OXFORD","SOUTH OXFORDSHIRE",2021,619373.926108374
"OXFORDSHIRE","OX44","OXFORD","SOUTH OXFORDSHIRE",2022,635810.833333333
"OXFORDSHIRE","OX49","WATLINGTON","SOUTH OXFORDSHIRE",2019,508500
"OXFORDSHIRE","OX49","WATLINGTON","SOUTH OXFORDSHIRE",2020,902470.059701493
"OXFORDSHIRE","OX49","WATLINGTON","SOUTH OXFORDSHIRE",2021,598966.565656566
"OXFORDSHIRE","OX49","WATLINGTON","SOUTH OXFORDSHIRE",2022,515333.333333333
"OXFORDSHIRE","OX5","CHIPPING NORTON","WEST OXFORDSHIRE",2021,5700000
"OXFORDSHIRE","OX5","KIDLINGTON","CHERWELL",2019,411168.314285714
"OXFORDSHIRE","OX5","KIDLINGTON","CHERWELL",2020,501586.033088235
"OXFORDSHIRE","OX5","KIDLINGTON","CHERWELL",2021,574977.987780041
"OXFORDSHIRE","OX5","KIDLINGTON","CHERWELL",2022,446000.802547771
"OXFORDSHIRE","OX5","KIDLINGTON","WEST OXFORDSHIRE",2019,690857.214285714
"OXFORDSHIRE","OX5","KIDLINGTON","WEST OXFORDSHIRE",2020,579656.225806452
"OXFORDSHIRE","OX5","KIDLINGTON","WEST OXFORDSHIRE",2021,716968.810810811
"OXFORDSHIRE","OX5","KIDLINGTON","WEST OXFORDSHIRE",2022,530909.090909091
"OXFORDSHIRE","OX7","CHIPPING NORTON","CHERWELL",2019,2125000
"OXFORDSHIRE","OX7","CHIPPING NORTON","CHERWELL",2021,4450000
"OXFORDSHIRE","OX7","CHIPPING NORTON","OXFORD",2021,186000
"OXFORDSHIRE","OX7","CHIPPING NORTON","WEST OXFORDSHIRE",2019,482440.763919822
"OXFORDSHIRE","OX7","CHIPPING NORTON","WEST OXFORDSHIRE",2020,551080.810267857
"OXFORDSHIRE","OX7","CHIPPING NORTON","WEST OXFORDSHIRE",2021,619468.606973059
"OXFORDSHIRE","OX7","CHIPPING NORTON","WEST OXFORDSHIRE",2022,679373.648293963
"OXFORDSHIRE","OX9","THAME","OXFORD",2019,775000
"OXFORDSHIRE","OX9","THAME","SOUTH OXFORDSHIRE",2019,468510.704861111
"OXFORDSHIRE","OX9","THAME","SOUTH OXFORDSHIRE",2020,507708.388679245
"OXFORDSHIRE","OX9","THAME","SOUTH OXFORDSHIRE",2021,533853.551181102
"OXFORDSHIRE","OX9","THAME","SOUTH OXFORDSHIRE",2022,483943.537414966
"OXFORDSHIRE","RG4","READING","SOUTH OXFORDSHIRE",2019,600681.91588785
"OXFORDSHIRE","RG4","READING","SOUTH OXFORDSHIRE",2020,633776.826923077
"OXFORDSHIRE","RG4","READING","SOUTH OXFORDSHIRE",2021,658388.838028169
"OXFORDSHIRE","RG4","READING","SOUTH OXFORDSHIRE",2022,782675.076923077
"OXFORDSHIRE","RG8","READING","SOUTH OXFORDSHIRE",2019,708635.581967213
"OXFORDSHIRE","RG8","READING","SOUTH OXFORDSHIRE",2020,697124.851851852
"OXFORDSHIRE","RG8","READING","SOUTH OXFORDSHIRE",2021,757397.948717949
"OXFORDSHIRE","RG8","READING","SOUTH OXFORDSHIRE",2022,851393.816513761
"OXFORDSHIRE","RG9","HENLEY-ON-THAMES","SOUTH OXFORDSHIRE",2019,806978.546134663
"OXFORDSHIRE","RG9","HENLEY-ON-THAMES","SOUTH OXFORDSHIRE",2020,843605.885572139
"OXFORDSHIRE","RG9","HENLEY-ON-THAMES","SOUTH OXFORDSHIRE",2021,918730.415959253
"OXFORDSHIRE","RG9","HENLEY-ON-THAMES","SOUTH OXFORDSHIRE",2022,899317.667532468
"OXFORDSHIRE","RG9","HENLEY-ON-THAMES","VALE OF WHITE HORSE",2020,405000
"OXFORDSHIRE","RG9","HENLEY-ON-THAMES","VALE OF WHITE HORSE",2022,560000
"OXFORDSHIRE","SN6","SWINDON","VALE OF WHITE HORSE",2019,380180.776859504
"OXFORDSHIRE","SN6","SWINDON","VALE OF WHITE HORSE",2020,430311.101694915
"OXFORDSHIRE","SN6","SWINDON","VALE OF WHITE HORSE",2021,463360.942675159
"OXFORDSHIRE","SN6","SWINDON","VALE OF WHITE HORSE",2022,452827.609195402
"OXFORDSHIRE","SN7","FARINGDON","SOUTH OXFORDSHIRE",2021,299000
"OXFORDSHIRE","SN7","FARINGDON","VALE OF WHITE HORSE",2019,359778.354166667
"OXFORDSHIRE","SN7","FARINGDON","VALE OF WHITE HORSE",2020,398898.966777409
"OXFORDSHIRE","SN7","FARINGDON","VALE OF WHITE HORSE",2021,450140.692708333
"OXFORDSHIRE","SN7","FARINGDON","VALE OF WHITE HORSE",2022,408525.393501805
"SOUTH YORKSHIRE","","BARNSLEY","BARNSLEY",2019,619166.666666667
"SOUTH YORKSHIRE","","BARNSLEY","BARNSLEY",2020,734200
"SOUTH YORKSHIRE","","BARNSLEY","BARNSLEY",2021,2903540.8
"SOUTH YORKSHIRE","","BARNSLEY","BARNSLEY",2022,1256125
"SOUTH YORKSHIRE","","DONCASTER","BARNSLEY",2021,26600
"SOUTH YORKSHIRE","","DONCASTER","DONCASTER",2019,602873.863636364
"SOUTH YORKSHIRE","","DONCASTER","DONCASTER",2020,2964703.63636364
"SOUTH YORKSHIRE","","DONCASTER","DONCASTER",2021,1468072.71428571
"SOUTH YORKSHIRE","","DONCASTER","DONCASTER",2022,498591.666666667
"SOUTH YORKSHIRE","","MEXBOROUGH","DONCASTER",2019,186500
"SOUTH YORKSHIRE","","ROTHERHAM","ROTHERHAM",2019,276965.333333333
"SOUTH YORKSHIRE","","ROTHERHAM","ROTHERHAM",2020,6692500
"SOUTH YORKSHIRE","","ROTHERHAM","ROTHERHAM",2021,73333.3333333333
"SOUTH YORKSHIRE","","ROTHERHAM","ROTHERHAM",2022,650000
"SOUTH YORKSHIRE","","SHEFFIELD","BARNSLEY",2021,405000
"SOUTH YORKSHIRE","","SHEFFIELD","ROTHERHAM",2021,2100000
"SOUTH YORKSHIRE","","SHEFFIELD","ROTHERHAM",2022,43333
"SOUTH YORKSHIRE","","SHEFFIELD","SHEFFIELD",2019,926285.714285714
"SOUTH YORKSHIRE","","SHEFFIELD","SHEFFIELD",2020,2215618.18181818
"SOUTH YORKSHIRE","","SHEFFIELD","SHEFFIELD",2021,2699441.17647059
